timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 20:59:59.730, NVIDIA GeForce RTX 5080 Laptop GPU, 95 %, 5239 MiB, 16303 MiB, 64
2026/09/23 21:00:01.730, NVIDIA GeForce RTX 5080 Laptop GPU, 66 %, 5188 MiB, 16303 MiB, 65
2026/09/23 21:00:03.730, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5216 MiB, 16303 MiB, 65
2026/09/23 21:00:05.731, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5219 MiB, 16303 MiB, 64
2026/09/23 21:00:07.731, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5242 MiB, 16303 MiB, 65
2026/09/23 21:00:09.731, NVIDIA GeForce RTX 5080 Laptop GPU, 42 %, 5191 MiB, 16303 MiB, 65
2026/09/23 21:00:11.731, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5197 MiB, 16303 MiB, 65
2026/09/23 21:00:13.732, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5314 MiB, 16303 MiB, 64
2026/09/23 21:00:15.732, NVIDIA GeForce RTX 5080 Laptop GPU, 62 %, 5352 MiB, 16303 MiB, 65
2026/09/23 21:00:17.732, NVIDIA GeForce RTX 5080 Laptop GPU, 89 %, 5199 MiB, 16303 MiB, 64
2026/09/23 21:00:19.732, NVIDIA GeForce RTX 5080 Laptop GPU, 57 %, 5196 MiB, 16303 MiB, 65
2026/09/23 21:00:21.733, NVIDIA GeForce RTX 5080 Laptop GPU, 57 %, 5196 MiB, 16303 MiB, 65
2026/09/23 21:00:23.733, NVIDIA GeForce RTX 5080 Laptop GPU, 54 %, 5281 MiB, 16303 MiB, 66
2026/09/23 21:00:25.734, NVIDIA GeForce RTX 5080 Laptop GPU, 53 %, 5178 MiB, 16303 MiB, 66
2026/09/23 21:00:27.734, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5201 MiB, 16303 MiB, 65
2026/09/23 21:00:29.734, NVIDIA GeForce RTX 5080 Laptop GPU, 59 %, 5178 MiB, 16303 MiB, 65
2026/09/23 21:00:31.735, NVIDIA GeForce RTX 5080 Laptop GPU, 57 %, 5178 MiB, 16303 MiB, 65
2026/09/23 21:00:33.735, NVIDIA GeForce RTX 5080 Laptop GPU, 63 %, 5178 MiB, 16303 MiB, 66
2026/09/23 21:00:35.735, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5178 MiB, 16303 MiB, 65
2026/09/23 21:00:37.736, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5201 MiB, 16303 MiB, 67
2026/09/23 21:00:39.736, NVIDIA GeForce RTX 5080 Laptop GPU, 73 %, 5230 MiB, 16303 MiB, 67
2026/09/23 21:00:41.736, NVIDIA GeForce RTX 5080 Laptop GPU, 60 %, 5178 MiB, 16303 MiB, 67
2026/09/23 21:00:43.736, NVIDIA GeForce RTX 5080 Laptop GPU, 41 %, 5178 MiB, 16303 MiB, 66
