[INFO] [1789990749.210188254] [basic_navigator]: Nav2 is ready for use!
[INFO] [1789990749.219715543] [go_to_station_args]: Nav2 active
[INFO] [1789990752.007229486] [go_to_station_args]: in zone RACK1_CORRIDOR at (-0.42, 1.00, 90deg): BackUp 2.20 m at 0.25 m/s before navigating
[INFO] [1789990845.752021093] [go_to_station_args]:   remaining 5.47 m, elapsed 68s, recoveries 1
[INFO] [1789990846.957331307] [go_to_station_args]:   remaining 5.47 m, elapsed 69s, recoveries 1
[INFO] [1789990848.167323013] [go_to_station_args]:   remaining 5.47 m, elapsed 70s, recoveries 1
[INFO] [1789990849.372896162] [go_to_station_args]:   remaining 5.47 m, elapsed 71s, recoveries 1
[INFO] [1789990850.583047972] [go_to_station_args]:   remaining 5.47 m, elapsed 73s, recoveries 1
[INFO] [1789990851.793891419] [go_to_station_args]:   remaining 5.47 m, elapsed 74s, recoveries 1
[INFO] [1789990853.003676960] [go_to_station_args]:   remaining 5.47 m, elapsed 75s, recoveries 1
[INFO] [1789990854.209255723] [go_to_station_args]:   remaining 5.47 m, elapsed 76s, recoveries 1
[INFO] [1789990855.420839165] [go_to_station_args]:   remaining 5.47 m, elapsed 77s, recoveries 1
[INFO] [1789990856.627994376] [go_to_station_args]:   remaining 5.47 m, elapsed 79s, recoveries 1
[INFO] [1789990857.831604705] [go_to_station_args]:   remaining 5.47 m, elapsed 80s, recoveries 1
[INFO] [1789990859.038571375] [go_to_station_args]:   remaining 5.47 m, elapsed 81s, recoveries 1
[INFO] [1789990860.243709319] [go_to_station_args]:   remaining 5.47 m, elapsed 82s, recoveries 1
[INFO] [1789990861.452438773] [go_to_station_args]:   remaining 5.47 m, elapsed 83s, recoveries 1
[INFO] [1789990862.656620269] [go_to_station_args]:   remaining 5.47 m, elapsed 85s, recoveries 1
[INFO] [1789990863.878820601] [go_to_station_args]:   remaining 5.47 m, elapsed 86s, recoveries 1
[INFO] [1789990865.091760439] [go_to_station_args]:   remaining 5.47 m, elapsed 87s, recoveries 3
[INFO] [1789990866.302558393] [go_to_station_args]:   remaining 5.47 m, elapsed 88s, recoveries 3
[INFO] [1789990867.507145585] [go_to_station_args]:   remaining 5.47 m, elapsed 89s, recoveries 3
[INFO] [1789990868.719197769] [go_to_station_args]:   remaining 5.47 m, elapsed 91s, recoveries 3
[INFO] [1789990869.926890772] [go_to_station_args]:   remaining 5.47 m, elapsed 92s, recoveries 3
[INFO] [1789990871.132346569] [go_to_station_args]:   remaining 5.47 m, elapsed 93s, recoveries 3
[INFO] [1789990872.338941548] [go_to_station_args]:   remaining 5.47 m, elapsed 94s, recoveries 3
[INFO] [1789990873.546031131] [go_to_station_args]:   remaining 5.47 m, elapsed 96s, recoveries 3
[INFO] [1789990874.753797846] [go_to_station_args]:   remaining 5.47 m, elapsed 97s, recoveries 3
[INFO] [1789990875.959738731] [go_to_station_args]:   remaining 5.47 m, elapsed 98s, recoveries 3
[INFO] [1789990877.165212111] [go_to_station_args]:   remaining 5.47 m, elapsed 99s, recoveries 3
[INFO] [1789990878.372957939] [go_to_station_args]:   remaining 5.47 m, elapsed 100s, recoveries 3
[INFO] [1789990879.579651639] [go_to_station_args]:   remaining 5.47 m, elapsed 102s, recoveries 3
[INFO] [1789990880.789474156] [go_to_station_args]:   remaining 5.47 m, elapsed 103s, recoveries 3
[INFO] [1789990881.996750301] [go_to_station_args]:   remaining 5.47 m, elapsed 104s, recoveries 3
[INFO] [1789990883.202079044] [go_to_station_args]:   remaining 5.47 m, elapsed 105s, recoveries 3
[INFO] [1789990884.410551763] [go_to_station_args]:   remaining 5.47 m, elapsed 106s, recoveries 3
[INFO] [1789990885.617232016] [go_to_station_args]:   remaining 5.47 m, elapsed 108s, recoveries 3
[INFO] [1789990886.823123748] [go_to_station_args]:   remaining 5.47 m, elapsed 109s, recoveries 3
[INFO] [1789990888.030429225] [go_to_station_args]:   remaining 5.47 m, elapsed 110s, recoveries 3
[INFO] [1789990889.236620982] [go_to_station_args]:   remaining 5.47 m, elapsed 111s, recoveries 3
[INFO] [1789990890.443400925] [go_to_station_args]:   remaining 5.47 m, elapsed 112s, recoveries 3
